type,completed_at,session_number,duration_minutes,task
Short Break,2025-05-27 15:43:00,1,5,
Short Break,2025-05-27 16:29:00,2,7,
Short Break,2025-05-27 14:06:00,3,6,
Short Break,2025-05-27 17:38:00,4,7,
Short Break,2025-05-27 09:52:00,5,7,
Long Break,2025-05-26 19:36:00,1,20,
Short Break,2025-05-26 12:20:00,2,4,
Short Break,2025-05-26 01:19:00,3,4,
Work,2025-05-26 13:32:00,4,41,Database Cleanup
Work,2025-05-26 14:10:00,5,35,Brainstorm Ideas
Work,2025-05-25 23:20:00,1,27,Code Review
Short Break,2025-05-25 11:02:00,2,6,
Work,2025-05-25 23:07:00,3,28,Write Report
Short Break,2025-05-25 19:43:00,4,5,
Long Break,2025-05-25 11:00:00,5,12,
Long Break,2025-05-25 03:18:00,6,10,
Work,2025-05-25 05:42:00,7,29,Database Cleanup
Work,2025-05-24 10:42:00,1,34,Design Slides
Short Break,2025-05-24 03:18:00,2,5,
Short Break,2025-05-24 19:37:00,3,7,
Work,2025-05-24 07:23:00,4,26,Database Cleanup
Short Break,2025-05-24 14:09:00,5,6,
Long Break,2025-05-24 17:03:00,6,15,
Work,2025-05-23 17:59:00,1,31,Brainstorm Ideas
Work,2025-05-23 15:29:00,2,44,Email Review
Long Break,2025-05-23 11:47:00,3,12,
Work,2025-05-23 12:03:00,4,31,Test Features
Work,2025-05-23 08:49:00,5,29,Client Call
Short Break,2025-05-23 23:49:00,6,7,
Work,2025-05-23 07:48:00,7,36,Email Review
Short Break,2025-05-23 23:55:00,8,7,
Work,2025-05-23 04:48:00,9,31,Write Report
Work,2025-05-22 06:44:00,1,26,Design Slides
Work,2025-05-22 10:26:00,2,44,Refactor Code
Work,2025-05-22 18:49:00,3,29,Refactor Code
Short Break,2025-05-22 12:32:00,4,7,
Work,2025-05-22 03:51:00,5,43,Read Docs
Work,2025-05-22 00:25:00,6,43,Brainstorm Ideas
Work,2025-05-22 05:41:00,7,29,Read Docs
Short Break,2025-05-22 00:28:00,8,5,
Work,2025-05-22 02:18:00,9,44,Code Review
Work,2025-05-21 21:11:00,1,31,Database Cleanup
Long Break,2025-05-21 20:53:00,2,13,
Work,2025-05-21 01:13:00,3,43,Code Review
Short Break,2025-05-21 08:16:00,4,4,
Short Break,2025-05-21 20:44:00,5,5,
Work,2025-05-21 12:59:00,6,29,Brainstorm Ideas
Work,2025-05-21 07:13:00,7,41,Code Review
Work,2025-05-21 08:15:00,8,35,Refactor Code
Short Break,2025-05-21 01:17:00,9,4,
Short Break,2025-05-20 12:15:00,1,5,
Work,2025-05-20 17:03:00,2,27,Database Cleanup
Short Break,2025-05-20 21:26:00,3,5,
Work,2025-05-20 14:27:00,4,39,Database Cleanup
Work,2025-05-20 16:24:00,5,27,Refactor Code
Work,2025-05-19 09:40:00,1,39,Test Features
Work,2025-05-19 11:24:00,2,28,Brainstorm Ideas
Short Break,2025-05-19 05:44:00,3,6,
Short Break,2025-05-19 22:03:00,4,6,
Work,2025-05-19 13:24:00,5,40,Test Features
Work,2025-05-19 01:44:00,6,42,Code Review
Work,2025-05-19 16:07:00,7,43,Brainstorm Ideas
Work,2025-05-19 15:40:00,8,34,Email Review
Short Break,2025-05-18 22:05:00,1,7,
Work,2025-05-18 06:59:00,2,27,Test Features
Work,2025-05-18 04:52:00,3,36,Read Docs
Short Break,2025-05-18 01:13:00,4,4,
Short Break,2025-05-18 19:12:00,5,4,
Work,2025-05-18 11:05:00,6,25,Read Docs
Work,2025-05-18 12:23:00,7,39,Write Report
Short Break,2025-05-18 12:54:00,8,5,
Work,2025-05-18 05:52:00,9,40,Email Review
Short Break,2025-05-17 14:11:00,1,7,
Short Break,2025-05-17 16:31:00,2,5,
Work,2025-05-17 09:01:00,3,36,Code Review
Work,2025-05-17 11:41:00,4,43,Write Report
Short Break,2025-05-17 10:52:00,5,5,
Work,2025-05-17 09:44:00,6,41,Code Review
Long Break,2025-05-16 12:17:00,1,18,
Short Break,2025-05-16 05:36:00,2,5,
Work,2025-05-16 09:45:00,3,41,Debug UI
Work,2025-05-16 14:38:00,4,37,Refactor Code
Work,2025-05-16 06:19:00,5,34,Debug UI
Work,2025-05-16 20:14:00,6,30,Brainstorm Ideas
Short Break,2025-05-16 21:17:00,7,6,
Short Break,2025-05-16 07:19:00,8,4,
Work,2025-05-16 14:27:00,9,42,Refactor Code
Short Break,2025-05-15 04:36:00,1,6,
Work,2025-05-15 23:42:00,2,28,Debug UI
Short Break,2025-05-15 03:54:00,3,6,
Work,2025-05-15 05:10:00,4,41,Database Cleanup
Short Break,2025-05-15 05:38:00,5,4,
Work,2025-05-15 17:08:00,6,25,Write Report
Short Break,2025-05-15 06:48:00,7,5,
Short Break,2025-05-15 04:16:00,8,7,
Work,2025-05-15 14:34:00,9,44,Test Features
Short Break,2025-05-15 15:35:00,10,5,
Short Break,2025-05-14 15:26:00,1,5,
Work,2025-05-14 20:33:00,2,25,Brainstorm Ideas
Work,2025-05-14 16:39:00,3,27,Write Report
Work,2025-05-14 09:02:00,4,37,Refactor Code
Long Break,2025-05-14 04:52:00,5,18,
Short Break,2025-05-14 09:54:00,6,6,
Long Break,2025-05-14 19:29:00,7,18,
Work,2025-05-14 04:36:00,8,35,Code Review
Work,2025-05-14 18:10:00,9,36,Database Cleanup
Short Break,2025-05-14 23:29:00,10,7,
Long Break,2025-05-13 23:51:00,1,16,
Work,2025-05-13 17:11:00,2,44,Refactor Code
Work,2025-05-13 02:42:00,3,33,Read Docs
Work,2025-05-13 16:17:00,4,28,Brainstorm Ideas
Short Break,2025-05-13 23:32:00,5,4,
Work,2025-05-13 09:51:00,6,36,Code Review
Work,2025-05-13 01:07:00,7,45,Debug UI
Work,2025-05-13 20:52:00,8,34,Email Review
Work,2025-05-13 13:17:00,9,25,Email Review
Work,2025-05-13 09:26:00,10,41,Design Slides
Long Break,2025-05-12 15:36:00,1,20,
Long Break,2025-05-12 10:41:00,2,13,
Work,2025-05-12 09:08:00,3,33,Read Docs
Short Break,2025-05-12 12:21:00,4,4,
Work,2025-05-12 16:35:00,5,35,Email Review
Short Break,2025-05-11 22:42:00,1,4,
Work,2025-05-11 04:38:00,2,44,Design Slides
Work,2025-05-11 13:01:00,3,43,Database Cleanup
Work,2025-05-11 05:27:00,4,45,Code Review
