type,completed_at,session_number,duration_minutes,task
Long Break,2025-05-19 21:06:00,1,19,
Short Break,2025-05-19 17:35:00,2,4,
Work,2025-05-19 19:49:00,3,27,Refactor Code
Work,2025-05-19 16:10:00,4,25,Test Features
Work,2025-05-19 19:25:00,5,37,Code Review
Work,2025-05-19 04:02:00,6,35,Design Slides
Work,2025-05-19 23:27:00,7,32,Test Features
Short Break,2025-05-18 07:28:00,1,6,
Work,2025-05-18 20:29:00,2,30,Write Report
Long Break,2025-05-18 01:44:00,3,17,
Long Break,2025-05-18 02:02:00,4,17,
Work,2025-05-18 16:30:00,5,38,Write Report
Work,2025-05-18 13:57:00,6,41,Database Cleanup
Long Break,2025-05-18 16:37:00,7,11,
Work,2025-05-18 22:00:00,8,44,Email Review
Work,2025-05-17 19:55:00,1,37,Read Docs
Work,2025-05-17 14:44:00,2,33,Design Slides
Work,2025-05-17 16:48:00,3,40,Database Cleanup
Work,2025-05-17 01:56:00,4,42,Email Review
Work,2025-05-17 03:20:00,5,43,Email Review
Short Break,2025-05-17 12:47:00,6,4,
Work,2025-05-17 23:32:00,7,40,Test Features
Work,2025-05-17 05:49:00,8,43,Client Call
Work,2025-05-17 07:25:00,9,35,Code Review
Short Break,2025-05-16 21:39:00,1,5,
Work,2025-05-16 07:43:00,2,29,Client Call
Short Break,2025-05-16 19:41:00,3,5,
Work,2025-05-16 04:39:00,4,27,Write Report
Work,2025-05-16 15:21:00,5,43,Email Review
Work,2025-05-16 19:37:00,6,32,Code Review
Work,2025-05-16 13:02:00,7,28,Database Cleanup
Long Break,2025-05-16 12:23:00,8,18,
Work,2025-05-16 12:45:00,9,42,Design Slides
Work,2025-05-16 12:33:00,10,33,Write Report
Work,2025-05-15 07:29:00,1,25,Design Slides
Short Break,2025-05-15 21:09:00,2,7,
Work,2025-05-15 07:17:00,3,27,Debug UI
Long Break,2025-05-15 19:59:00,4,18,
Work,2025-05-15 07:34:00,5,28,Code Review
Short Break,2025-05-14 03:34:00,1,4,
Work,2025-05-14 22:56:00,2,43,Write Report
Work,2025-05-14 13:22:00,3,33,Database Cleanup
Short Break,2025-05-14 02:35:00,4,4,
Short Break,2025-05-14 19:08:00,5,4,
Work,2025-05-14 15:34:00,6,44,Client Call
Work,2025-05-14 04:21:00,7,37,Design Slides
Work,2025-05-13 23:19:00,1,29,Code Review
Long Break,2025-05-13 15:30:00,2,20,
Work,2025-05-13 20:18:00,3,27,Write Report
Work,2025-05-13 08:44:00,4,35,Refactor Code
Work,2025-05-13 22:13:00,5,40,Code Review
Short Break,2025-05-13 09:46:00,6,5,
Work,2025-05-13 11:00:00,7,38,Debug UI
Short Break,2025-05-12 15:50:00,1,6,
Short Break,2025-05-12 11:41:00,2,6,
Work,2025-05-12 20:40:00,3,26,Refactor Code
Short Break,2025-05-12 18:16:00,4,7,
Work,2025-05-12 17:01:00,5,40,Refactor Code
Long Break,2025-05-12 05:01:00,6,15,
Work,2025-05-12 13:51:00,7,36,Client Call
Work,2025-05-11 15:30:00,1,34,Design Slides
Work,2025-05-11 11:14:00,2,29,Email Review
Work,2025-05-11 18:34:00,3,28,Database Cleanup
Work,2025-05-11 09:43:00,4,44,Debug UI
Work,2025-05-11 05:58:00,5,34,Refactor Code
Work,2025-05-11 21:38:00,6,42,Test Features
Long Break,2025-05-11 14:32:00,7,19,
Short Break,2025-05-10 22:41:00,1,6,
Work,2025-05-10 00:30:00,2,43,Write Report
Work,2025-05-10 16:05:00,3,38,Brainstorm Ideas
Short Break,2025-05-10 10:07:00,4,5,
Work,2025-05-10 22:04:00,5,44,Read Docs
Work,2025-05-10 03:23:00,6,39,Write Report
Short Break,2025-05-10 08:19:00,7,7,
Work,2025-05-10 19:38:00,8,38,Code Review
Work,2025-05-09 16:20:00,1,30,Email Review
Work,2025-05-09 16:00:00,2,31,Brainstorm Ideas
Short Break,2025-05-09 00:00:00,3,5,
Work,2025-05-09 03:35:00,4,44,Test Features
Work,2025-05-09 07:17:00,5,33,Test Features
Short Break,2025-05-09 10:57:00,6,5,
Short Break,2025-05-09 07:25:00,7,5,
Short Break,2025-05-09 22:46:00,8,6,
Short Break,2025-05-09 00:25:00,9,6,
Short Break,2025-05-08 19:01:00,1,7,
Short Break,2025-05-08 23:20:00,2,6,
Short Break,2025-05-08 04:19:00,3,6,
Work,2025-05-08 13:36:00,4,34,Database Cleanup
Short Break,2025-05-08 05:07:00,5,6,
Work,2025-05-08 14:22:00,6,25,Write Report
Work,2025-05-08 16:16:00,7,33,Design Slides
Work,2025-05-08 01:44:00,8,39,Database Cleanup
Work,2025-05-07 23:49:00,1,32,Refactor Code
Work,2025-05-07 21:54:00,2,45,Debug UI
Work,2025-05-07 01:27:00,3,42,Refactor Code
Short Break,2025-05-07 05:40:00,4,4,
Short Break,2025-05-07 12:13:00,5,5,
Work,2025-05-07 09:15:00,6,33,Read Docs
Long Break,2025-05-07 07:00:00,7,13,
Short Break,2025-05-07 21:28:00,8,5,
Short Break,2025-05-07 19:45:00,9,6,
Short Break,2025-05-06 02:13:00,1,5,
Work,2025-05-06 16:07:00,2,45,Write Report
Work,2025-05-06 12:41:00,3,45,Design Slides
Work,2025-05-06 08:37:00,4,44,Client Call
Long Break,2025-05-06 23:58:00,5,14,
Short Break,2025-05-06 09:47:00,6,5,
Short Break,2025-05-06 07:19:00,7,5,
Work,2025-05-06 20:12:00,8,45,Refactor Code
Work,2025-05-05 23:14:00,1,44,Code Review
Short Break,2025-05-05 20:49:00,2,6,
Work,2025-05-05 17:50:00,3,35,Database Cleanup
Short Break,2025-05-05 23:10:00,4,5,
Work,2025-05-05 13:42:00,5,45,Write Report
Short Break,2025-05-05 21:26:00,6,6,
Long Break,2025-05-04 05:17:00,1,10,
Short Break,2025-05-04 19:42:00,2,5,
Work,2025-05-04 10:49:00,3,44,Read Docs
Work,2025-05-04 08:33:00,4,32,Debug UI
Work,2025-05-04 05:11:00,5,29,Read Docs
Short Break,2025-05-04 03:44:00,6,7,
Long Break,2025-05-04 06:19:00,7,20,
Short Break,2025-05-04 13:49:00,8,7,
Work,2025-05-03 04:55:00,1,39,Test Features
Work,2025-05-03 21:39:00,2,38,Design Slides
Work,2025-05-03 14:09:00,3,25,Debug UI
Work,2025-05-03 17:45:00,4,40,Write Report
Short Break,2025-05-03 22:45:00,5,5,
Short Break,2025-05-02 10:05:00,1,6,
Work,2025-05-02 14:42:00,2,42,Test Features
Work,2025-05-02 16:07:00,3,36,Email Review
Work,2025-05-02 16:02:00,4,36,Client Call
Work,2025-05-02 10:10:00,5,36,Debug UI
Short Break,2025-05-02 15:39:00,6,6,
Work,2025-05-02 11:10:00,7,42,Email Review
Short Break,2025-05-02 01:57:00,8,6,
Long Break,2025-05-02 14:53:00,9,13,
Work,2025-05-01 14:15:00,1,44,Read Docs
Work,2025-05-01 05:48:00,2,30,Debug UI
Work,2025-05-01 10:55:00,3,36,Email Review
Work,2025-05-01 06:44:00,4,40,Read Docs
Work,2025-05-01 01:20:00,5,25,Design Slides
Work,2025-05-01 17:50:00,6,30,Email Review
Work,2025-04-30 02:20:00,1,41,Refactor Code
Work,2025-04-30 07:15:00,2,43,Write Report
Work,2025-04-30 02:38:00,3,39,Write Report
Work,2025-04-30 06:13:00,4,45,Client Call
Short Break,2025-04-30 01:11:00,5,7,
Work,2025-04-30 12:10:00,6,37,Write Report
Work,2025-04-30 08:53:00,7,44,Read Docs
Short Break,2025-04-30 19:57:00,8,5,
Work,2025-04-29 18:00:00,1,41,Design Slides
Work,2025-04-29 17:40:00,2,39,Write Report
Work,2025-04-29 13:15:00,3,29,Brainstorm Ideas
Work,2025-04-29 11:09:00,4,29,Debug UI
Short Break,2025-04-29 16:43:00,5,5,
Long Break,2025-04-29 06:06:00,6,19,
Work,2025-04-29 08:10:00,7,36,Write Report
Work,2025-04-29 01:31:00,8,25,Test Features
Work,2025-04-29 22:07:00,9,27,Read Docs
Work,2025-04-29 15:39:00,10,34,Test Features
Work,2025-04-28 08:44:00,1,25,Read Docs
Long Break,2025-04-28 06:07:00,2,18,
Work,2025-04-28 04:27:00,3,37,Refactor Code
Work,2025-04-28 10:59:00,4,36,Brainstorm Ideas
Work,2025-04-28 18:00:00,5,35,Write Report
Short Break,2025-04-28 10:44:00,6,6,
Work,2025-04-27 14:33:00,1,41,Debug UI
Work,2025-04-27 10:42:00,2,43,Read Docs
Long Break,2025-04-27 13:18:00,3,12,
Work,2025-04-27 09:08:00,4,42,Read Docs
Work,2025-04-27 22:29:00,5,37,Test Features
Work,2025-04-27 17:24:00,6,25,Database Cleanup
Work,2025-04-27 17:01:00,7,41,Write Report
Work,2025-04-27 16:34:00,8,28,Brainstorm Ideas
Work,2025-04-27 19:53:00,9,41,Read Docs
Short Break,2025-04-26 12:24:00,1,5,
Long Break,2025-04-26 01:56:00,2,12,
Short Break,2025-04-26 08:36:00,3,7,
Work,2025-04-26 19:39:00,4,32,Code Review
Work,2025-04-26 12:58:00,5,37,Brainstorm Ideas
Work,2025-04-26 16:01:00,6,45,Brainstorm Ideas
Short Break,2025-04-26 20:37:00,7,6,
Long Break,2025-04-26 20:56:00,8,19,
Work,2025-04-26 07:50:00,9,41,Read Docs
Short Break,2025-04-26 12:09:00,10,6,
Long Break,2025-04-25 12:46:00,1,16,
Work,2025-04-25 13:00:00,2,40,Design Slides
Short Break,2025-04-25 21:12:00,3,5,
Work,2025-04-25 21:39:00,4,40,Read Docs
Work,2025-04-25 14:20:00,5,36,Brainstorm Ideas
Work,2025-04-25 20:57:00,6,32,Refactor Code
Work,2025-04-24 12:18:00,1,33,Code Review
Work,2025-04-24 14:07:00,2,41,Read Docs
Work,2025-04-24 07:17:00,3,36,Write Report
Work,2025-04-24 19:00:00,4,25,Brainstorm Ideas
Work,2025-04-24 07:35:00,5,39,Client Call
Work,2025-04-24 09:59:00,6,34,Design Slides
Short Break,2025-04-24 10:10:00,7,4,
Work,2025-04-23 04:39:00,1,34,Refactor Code
Work,2025-04-23 07:27:00,2,31,Design Slides
Work,2025-04-23 13:38:00,3,26,Database Cleanup
Short Break,2025-04-23 06:50:00,4,5,
Short Break,2025-04-23 03:55:00,5,6,
Work,2025-04-22 13:41:00,1,41,Email Review
Work,2025-04-22 18:11:00,2,41,Design Slides
Work,2025-04-22 04:03:00,3,42,Read Docs
Short Break,2025-04-22 11:41:00,4,7,
Short Break,2025-04-22 20:23:00,5,5,
Work,2025-04-22 03:53:00,6,27,Brainstorm Ideas
Short Break,2025-04-22 15:57:00,7,5,
Work,2025-04-22 03:09:00,8,26,Write Report
Work,2025-04-21 17:26:00,1,32,Database Cleanup
Long Break,2025-04-21 01:07:00,2,10,
Short Break,2025-04-21 18:31:00,3,6,
Work,2025-04-21 21:22:00,4,37,Read Docs
Work,2025-04-21 00:59:00,5,32,Code Review
Short Break,2025-04-21 16:18:00,6,6,
Work,2025-04-21 02:46:00,7,27,Code Review
Short Break,2025-04-21 23:02:00,8,4,
Short Break,2025-04-20 10:21:00,1,7,
Work,2025-04-20 13:59:00,2,36,Design Slides
Short Break,2025-04-20 14:41:00,3,4,
Work,2025-04-20 05:17:00,4,33,Code Review
Work,2025-04-20 15:29:00,5,36,Read Docs
Short Break,2025-04-20 23:12:00,6,4,
Work,2025-04-20 00:47:00,7,43,Test Features
Short Break,2025-04-20 01:31:00,8,6,
Work,2025-04-20 00:21:00,9,43,Code Review
Work,2025-04-20 17:22:00,10,30,Client Call
Work,2025-04-19 18:13:00,1,36,Code Review
Work,2025-04-19 00:11:00,2,39,Debug UI
Work,2025-04-19 07:28:00,3,26,Test Features
Short Break,2025-04-19 12:34:00,4,5,
Long Break,2025-04-19 11:48:00,5,17,
Long Break,2025-04-18 07:56:00,1,17,
Long Break,2025-04-18 08:14:00,2,11,
Work,2025-04-18 08:10:00,3,37,Test Features
Short Break,2025-04-18 10:12:00,4,6,
Work,2025-04-18 16:12:00,5,32,Refactor Code
Work,2025-04-17 20:06:00,1,36,Code Review
Work,2025-04-17 13:14:00,2,37,Client Call
Work,2025-04-17 04:53:00,3,41,Refactor Code
Long Break,2025-04-17 16:30:00,4,19,
Work,2025-04-17 08:02:00,5,33,Code Review
Work,2025-04-17 19:37:00,6,34,Code Review
Short Break,2025-04-17 20:48:00,7,4,
Work,2025-04-17 01:48:00,8,33,Refactor Code
Work,2025-04-17 01:13:00,9,43,Brainstorm Ideas
Work,2025-04-17 11:36:00,10,25,Read Docs
Long Break,2025-04-16 06:18:00,1,18,
Work,2025-04-16 23:48:00,2,33,Brainstorm Ideas
Short Break,2025-04-16 07:14:00,3,7,
Work,2025-04-16 16:23:00,4,43,Design Slides
Short Break,2025-04-16 06:41:00,5,5,
Short Break,2025-04-16 02:54:00,6,4,
Long Break,2025-04-16 13:50:00,7,17,
Work,2025-04-15 07:43:00,1,25,Code Review
Work,2025-04-15 02:44:00,2,38,Code Review
Work,2025-04-15 11:23:00,3,34,Write Report
Short Break,2025-04-15 16:09:00,4,7,
Work,2025-04-15 10:03:00,5,45,Database Cleanup
Work,2025-04-14 16:39:00,1,28,Write Report
