type,completed_at,session_number,duration_minutes,task
Work,2025-05-19 22:23:28,1,0,
Short Break,2025-05-19 22:23:29,1,0,
Work,2025-05-19 22:23:30,2,0,
Short Break,2025-05-19 22:23:31,2,0,
Work,2025-05-19 22:23:32,3,0,
Short Break,2025-05-19 22:23:33,3,0,
Work,2025-05-19 22:23:34,4,0,
Long Break,2025-05-19 22:23:35,1,0,
Work,2025-05-19 22:23:36,5,0,
Short Break,2025-05-19 22:23:37,4,0,
Work,2025-05-19 22:23:38,6,0,
Work,2025-05-20 15:39:21,1,0,
Work,2025-05-20 16:09:03,1,0,
Short Break,2025-05-20 16:09:04,1,0,
Work,2025-05-20 16:09:05,2,0,
Work,2025-05-20 16:09:08,1,0,
Short Break,2025-05-20 16:09:09,1,0,
Work,2025-05-20 16:09:10,2,0,
Short Break,2025-05-20 16:09:11,2,0,
Work,2025-05-20 16:09:12,3,0,
Short Break,2025-05-20 16:09:13,3,0,
Work,2025-05-20 16:15:07,1,0,SomeTask
Short Break,2025-05-20 16:15:08,1,0,SomeTask
Work,2025-05-20 16:15:09,2,0,SomeTask
Short Break,2025-05-20 16:15:09,2,0,SomeTask
Work,2025-05-20 16:15:11,3,0,SomeTask
Short Break,2025-05-20 16:15:12,3,0,SomeTask
Work,2025-05-20 16:15:13,4,0,SomeTask
Long Break,2025-05-20 16:15:13,1,0,SomeTask
Work,2025-05-20 16:15:15,5,0,SomeTask
Short Break,2025-05-20 16:15:16,4,0,
Work,2025-05-20 16:15:17,6,0,
Work,2025-05-20 16:16:30,1,0,
Short Break,2025-05-20 16:16:33,1,0,
Work,2025-05-20 16:16:34,2,0,
Short Break,2025-05-20 16:16:35,2,0,
Work,2025-05-20 16:16:36,3,0,
Short Break,2025-05-20 16:16:37,3,0,
Work,2025-05-20 16:16:38,4,0,
Long Break,2025-05-20 16:16:39,1,0,
Work,2025-05-20 16:16:40,5,0,
Short Break,2025-05-20 16:16:40,4,0,
Work,2025-05-20 16:16:41,6,0,
Short Break,2025-05-20 16:16:42,5,0,
Work,2025-05-20 16:16:43,7,0,
Short Break,2025-05-20 16:16:44,6,0,
Work,2025-05-20 16:16:45,8,0,
Long Break,2025-05-20 16:16:46,2,0,
Work,2025-05-20 16:18:23,1,0,Trial,1
Short Break,2025-05-20 16:18:24,1,0,Trial,1
Work,2025-05-20 16:18:25,2,0,Trial,1
Short Break,2025-05-20 16:18:26,2,0,Trial,1
Work,2025-05-20 16:18:27,3,0,Trial,1
Short Break,2025-05-20 16:18:28,3,0,Trial,1
Work,2025-05-20 16:18:29,4,0,Trial,1
Long Break,2025-05-20 16:18:30,1,0,Trial,1
Work,2025-05-20 16:18:31,5,0,Trial,1
Short Break,2025-05-20 16:18:32,4,0,,1
Work,2025-05-20 16:18:33,6,0,,1
Short Break,2025-05-20 16:18:34,5,0,,1
Work,2025-05-20 16:18:34,7,0,,0
Work,2025-05-20 16:20:50,1,0,Trial,1
Short Break,2025-05-20 16:20:51,1,0,Trial,1
Work,2025-05-20 16:20:52,2,0,Trial,1
Short Break,2025-05-20 16:20:53,2,0,Trial,1
Work,2025-05-20 16:20:54,3,0,Trial,1
Short Break,2025-05-20 16:20:55,3,0,Trial,1
Work,2025-05-20 16:20:56,4,0,Trial,1
Long Break,2025-05-20 16:20:57,1,0,Trial,1
Work,2025-05-20 16:20:58,5,0,Trial,1
Short Break,2025-05-20 16:20:59,4,0,Trial,1
Work,2025-05-20 16:21:00,6,0,Trial,1
Short Break,2025-05-20 16:21:01,5,0,,1
Work,2025-05-20 16:21:01,7,0,,1
Short Break,2025-05-20 16:21:02,6,0,,1
Work,2025-05-20 16:21:04,8,0,,0
Work,2025-05-20 16:22:03,1,0,,0
Work,2025-05-20 16:22:03,1,0,,0
Work,2025-05-20 16:22:05,1,0,,1
Short Break,2025-05-20 16:22:06,1,0,,1
Work,2025-05-20 16:22:07,2,0,,1
Short Break,2025-05-20 16:22:08,2,0,,1
Work,2025-05-20 16:22:09,3,0,,1
Short Break,2025-05-20 16:22:10,3,0,,1
Work,2025-05-20 16:22:11,4,0,,1
Long Break,2025-05-20 16:22:12,1,0,,1
Work,2025-05-20 16:22:13,5,0,,1
Short Break,2025-05-20 16:22:13,4,0,,0
Work,2025-05-20 16:22:17,1,0,,1
Short Break,2025-05-20 16:22:17,1,0,,1
Work,2025-05-20 16:22:18,2,0,,1
Short Break,2025-05-20 16:22:19,2,0,,0
Work,2025-05-20 16:24:17,1,0,,1
Short Break,2025-05-20 16:24:18,1,0,,1
Work,2025-05-20 16:24:19,2,0,,1
Short Break,2025-05-20 16:24:20,2,0,,1
Work,2025-05-20 16:24:21,3,0,,1
Short Break,2025-05-20 16:24:22,3,0,,1
Work,2025-05-20 16:24:23,4,0,,1
