type,completed_at,session_number,duration_minutes,task
Work,2025-05-12 17:10:19.326572,1,0,
Short Break,2025-05-12 17:10:20.266276,1,0,
Work,2025-05-12 17:10:21.203005,2,0,
Short Break,2025-05-12 17:10:22.144733,2,0,
Work,2025-05-12 17:10:23.084879,3,0,
Short Break,2025-05-12 17:10:24.025457,3,0,
Work,2025-05-12 17:10:24.960270,4,0,
Long Break,2025-05-12 17:10:25.896947,1,0,
Work,2025-05-12 17:10:26.837662,5,0,
Short Break,2025-05-12 17:10:27.780136,4,0,
Work,2025-05-12 17:10:28.722460,6,0,
Short Break,2025-05-12 17:10:29.662522,5,0,
Work,2025-05-12 17:10:30.598935,7,0,
Short Break,2025-05-12 17:10:31.539301,6,0,
Work,2025-05-12 17:10:32.474087,8,0,
Long Break,2025-05-12 17:10:33.405464,2,0,
Work,2025-05-12 17:10:34.340387,9,0,
Short Break,2025-05-12 17:10:35.279354,7,0,
Work,2025-05-12 17:10:36.219706,10,0,
Short Break,2025-05-12 17:10:37.151757,8,0,He
Work,2025-05-12 17:10:38.092641,11,0,l
Short Break,2025-05-12 17:10:39.033442,9,0,
Work,2025-05-12 17:10:39.976982,12,0,He
Long Break,2025-05-12 17:10:40.918006,3,0,l
Work,2025-05-12 17:10:41.857092,13,0,
Short Break,2025-05-12 17:10:42.788550,10,0,
Work,2025-05-12 17:10:43.726580,14,0,
Short Break,2025-05-12 17:10:44.664576,11,0,
Work,2025-05-12 17:10:45.611419,15,0,
Short Break,2025-05-12 17:10:58.519008,12,0,Trial
Work,2025-05-12 17:10:59.455390,16,0,
Long Break,2025-05-12 17:11:00.395146,4,0,
Work,2025-05-12 17:11:01.334972,17,0,
Short Break,2025-05-12 17:11:02.273414,13,0,
Work,2025-05-12 17:11:03.215531,18,0,
Short Break,2025-05-12 17:11:04.152440,14,0,
Work,2025-05-12 17:11:05.091830,19,0,
Short Break,2025-05-12 17:11:06.029360,15,0,
Work,2025-05-12 17:11:07.090663,20,0,
Work,2025-05-12 17:11:33.754564,1,0,Trial
Short Break,2025-05-12 17:11:34.686791,1,0,
Work,2025-05-12 17:11:35.624471,2,0,
Short Break,2025-05-12 17:11:36.561747,2,0,
Work,2025-05-12 17:11:37.498077,3,0,
Short Break,2025-05-12 17:11:38.439034,3,0,
Work,2025-05-12 17:11:39.380827,4,0,
Long Break,2025-05-12 17:11:40.326391,1,0,
Work,2025-05-12 17:11:54.770516,1,0,
Short Break,2025-05-12 17:11:55.707080,1,0,
Work,2025-05-12 17:11:56.646753,2,0,
Short Break,2025-05-12 17:11:57.583858,2,0,
